chr,start,end,state,median,integer_median,integer_copy_number
1,1,12600000,2,0.5225946,1.0142406,1
1,12600001,60150000,3,1.0623128,2.0617144,2
1,60150001,61350000,4,1.5479464,3.0042218,3
1,61350001,77100000,3,1.0030451,1.9466889,2
1,77100001,78750000,4,1.5162782,2.9427609,3
1,78750001,156000000,3,1.0252910,1.9898632,2
1,156000001,242250000,4,1.5334911,2.9761672,3
1,242250001,249300000,5,2.0015976,3.8846586,4
2,1,26250000,2,0.5150618,0.9996211,1
2,26250001,38250000,3,1.0333770,2.0055564,2
2,38250001,39450000,4,1.5001856,2.9115286,3
2,39450001,50250000,3,1.0472609,2.0325020,2
2,50250001,53400000,4,1.5026494,2.9163104,3
2,53400001,59700000,5,2.0594212,3.9968813,4
2,59700001,63900000,6,2.5038596,4.8594382,5
2,63900001,159900000,3,1.0694464,2.0755592,2
2,159900001,176850000,2,0.4985449,0.9675655,1
2,176850001,243300000,3,1.0994869,2.1338610,2
3,1,13800000,3,1.0456633,2.0294014,2
3,13800001,16500000,5,2.2010046,4.2716635,4
3,16500001,34350000,3,1.0206748,1.9809041,2
3,34350001,86850000,2,0.5178564,1.0050448,1
3,86850001,89100000,5,2.0061171,3.8934300,4
3,89100001,114000000,3,0.9934181,1.9280050,2
3,114000001,141150000,4,1.5276914,2.9649114,3
3,141150001,180450000,5,1.9936481,3.8692303,4
3,180450001,198150000,2,0.4916232,0.9541319,1
4,1,70500000,2,0.5341872,1.0367393,1
4,70500001,115350000,3,1.0095986,1.9594076,2
4,115350001,116100000,4,1.5020468,2.9151409,3
4,116100001,135300000,3,1.0160124,1.9718556,2
4,135300001,151650000,4,1.5935761,3.0927791,3
4,151650001,191250000,2,0.4997622,0.9699280,1
5,1,1350000,3,1.0621996,2.0614946,2
5,1350001,4050000,4,1.6956213,3.2908262,3
5,4050001,16500000,3,1.0641257,2.0652328,2
5,16500001,18000000,4,1.4442213,2.8029143,3
5,18000001,49650000,3,1.0187144,1.9770994,2
5,49650001,50850000,2,0.5134858,0.9965625,1
5,50850001,54150000,3,1.0098762,1.9599466,2
5,54150001,127050000,2,0.5049748,0.9800445,1
5,127050001,129150000,4,1.5077518,2.9262130,3
5,129150001,150600000,3,1.0450400,2.0281917,2
5,150600001,165600000,2,0.4861917,0.9435907,1
5,165600001,166500000,3,0.9103423,1.7667733,2
5,166500001,181050000,2,0.5106167,0.9909941,1
6,1,32400000,4,1.5582383,3.0241962,3
6,32400001,32700000,2,0.5160755,1.0015885,1
6,32700001,76950000,3,1.0194563,1.9785394,2
6,76950001,86400000,4,1.5029566,2.9169066,3
6,86400001,90000000,3,0.9975657,1.9360545,2
6,90000001,93450000,4,1.5385413,2.9859687,3
6,93450001,114450000,5,2.0405452,3.9602472,4
6,114450001,126000000,4,1.5286287,2.9667304,3
6,126000001,143100000,5,2.0253848,3.9308243,4
6,143100001,145500000,7,5.9538886,11.5551818,12
6,145500001,156600000,5,2.0468982,3.9725770,4
6,156600001,157350000,7,3.9913575,7.7463427,8
6,157350001,171150000,2,0.5468464,1.0613079,1
7,1,2850000,4,1.4788738,2.8701672,3
7,2850001,132450000,3,1.0064841,1.9533631,2
7,132450001,133350000,2,0.5247786,1.0184793,1
7,133350001,135300000,3,0.9971861,1.9353178,2
7,135300001,156900000,2,0.5022919,0.9748376,1
7,156900001,157500000,3,1.0056746,1.9517920,2
7,157500001,159150000,2,0.5258783,1.0206136,1
8,1,53850000,2,0.5243948,1.0177345,1
8,53850001,55050000,3,0.9574503,1.8581994,2
8,55050001,67500000,2,0.5022534,0.9747629,1
8,67500001,68100000,3,0.9274354,1.7999471,2
8,68100001,77550000,7,4.1011208,7.9593691,8
8,77550001,79350000,3,1.0310796,2.0010976,2
8,79350001,80100000,4,1.5062594,2.9233165,3
8,80100001,89700000,3,1.0059822,1.9523892,2
8,89700001,99450000,2,0.5109864,0.9917116,1
8,99450001,119100000,3,1.0225476,1.9845388,2
8,119100001,141000000,4,1.5765966,3.0598256,3
8,141000001,143100000,5,2.1055568,4.0864203,4
8,143100001,146400000,4,1.5460982,3.0006350,3
9,1,78900000,3,1.0340349,2.0068332,2
9,78900001,85350000,4,1.4864763,2.8849220,3
9,85350001,141300000,3,1.0532171,2.0440617,2
10,1,1500000,4,1.5993724,3.1040284,3
10,1500001,76200000,3,1.0299485,1.9989024,2
10,76200001,76950000,4,1.5062754,2.9233476,3
10,76950001,118350000,3,1.0984212,2.1317929,2
10,118350001,135600000,2,0.5312220,1.0309844,1
11,1,33750000,3,1.0514966,2.0407226,2
11,33750001,43500000,4,1.5872175,3.0804383,3
11,43500001,100200000,3,1.0759274,2.0881373,2
11,100200001,135150000,2,0.5622492,1.0912015,1
12,1,14400000,3,1.0449287,2.0279757,2
12,14400001,16200000,4,1.5827689,3.0718046,3
12,16200001,46800000,3,1.0261982,1.9916239,2
12,46800001,68850000,2,0.5176405,1.0046258,1
12,68850001,133950000,3,1.0533480,2.0443157,2
13,1,20400000,3,0.9771622,1.8964558,2
13,20400001,21150000,4,1.4744212,2.8615256,3
13,21150001,38850000,3,1.0137935,1.9675491,2
13,38850001,83400000,2,0.5200285,1.0092604,1
13,83400001,112950000,3,1.0203077,1.9801917,2
13,112950001,115200000,2,0.5366551,1.0415290,1
14,1,93300000,2,0.5061029,0.9822338,1
14,93300001,105450000,3,1.0784099,2.0929553,2
14,105450001,106500000,5,1.8687029,3.6267394,4
14,106500001,107400000,3,1.1431720,2.2186442,2
15,1,59100000,3,1.0321647,2.0032036,2
15,59100001,60150000,4,1.4978878,2.9070692,3
15,60150001,62400000,3,1.0652156,2.0673481,2
15,62400001,63900000,4,1.5759791,3.0586272,3
15,63900001,72900000,3,1.0712741,2.0791062,2
15,72900001,102600000,2,0.5214909,1.0120986,1
16,1,5850000,2,0.5199671,1.0091412,1
16,5850001,6750000,7,3.0532549,5.9256929,6
16,6750001,8100000,3,1.0618465,2.0608094,2
16,8100001,8550000,4,1.5858610,3.0778058,3
16,8550001,15600000,7,3.1373797,6.0889605,6
16,15600001,16350000,4,1.3549752,2.6297073,3
16,16350001,16950000,2,0.5998731,1.1642211,1
16,16950001,90450000,3,1.0533004,2.0442232,2
17,1,40650000,2,0.5282633,1.0252424,1
17,40650001,47250000,3,1.0707230,2.0780366,2
17,47250001,79650000,4,1.5631240,3.0336781,3
17,79650001,81300000,3,1.0242797,1.9879005,2
18,1,7950000,2,0.5034358,0.9770577,1
18,7950001,20400000,3,1.0026603,1.9459420,2
18,20400001,21150000,4,1.4835387,2.8792207,3
18,21150001,22650000,3,1.0160504,1.9719293,2
18,22650001,55950000,2,0.5147712,0.9990571,1
18,55950001,78150000,5,2.0458557,3.9705538,4
19,1,59250000,3,1.0406416,2.0196554,2
20,1,13650000,2,0.5021999,0.9746590,1
20,13650001,14250000,3,0.9702811,1.8831012,2
20,14250001,24600000,2,0.5203035,1.0097942,1
20,24600001,37050000,3,1.0489073,2.0356972,2
20,37050001,50550000,2,0.5412022,1.0503538,1
20,50550001,63150000,3,1.0629289,2.0629100,2
21,1,38850000,3,1.0299466,1.9988986,2
21,38850001,48150000,2,0.5298963,1.0284117,1
22,1,51450000,3,1.0947536,2.1246747,2
X,1,155400000,3,1.0037525,1.9480618,2
Y,1,59400000,1,0.0000000,0.0000000,0
