chr,start,end,state,median,integer_median,integer_copy_number
1,1,12600000,2,0.5106690,0.9935673,1
1,12600001,60150000,3,1.0509671,2.0447814,2
1,60150001,61200000,4,1.5439257,3.0038909,3
1,61200001,77100000,3,1.0012275,1.9480070,2
1,77100001,78750000,4,1.4424021,2.8063647,3
1,78750001,156000000,3,0.9927298,1.9314738,2
1,156000001,242250000,4,1.5371039,2.9906183,3
1,242250001,249300000,5,2.0010126,3.8932078,4
2,1,26250000,2,0.5188655,1.0095145,1
2,26250001,38250000,3,1.0489682,2.0408923,2
2,38250001,39450000,4,1.5448835,3.0057544,3
2,39450001,50250000,3,1.0339899,2.0117502,2
2,50250001,53400000,4,1.4928440,2.9045053,3
2,53400001,59700000,5,2.0385522,3.9662455,4
2,59700001,63600000,6,2.4883011,4.8412856,5
2,63600001,64050000,4,1.5310385,2.9788173,3
2,64050001,87450000,3,1.0341650,2.0120908,2
2,87450001,88350000,2,0.5167370,1.0053733,1
2,88350001,159900000,3,1.0254471,1.9951291,2
2,159900001,176850000,2,0.4994567,0.9717523,1
2,176850001,243300000,3,1.0264484,1.9970774,2
3,1,13800000,3,1.0053707,1.9560681,2
3,13800001,16350000,5,2.1422671,4.1680353,4
3,16350001,34350000,3,0.9910935,1.9282902,2
3,34350001,86850000,2,0.5258358,1.0230760,1
3,86850001,89100000,5,1.9951410,3.8817839,4
3,89100001,114000000,3,1.0129656,1.9708450,2
3,114000001,141150000,4,1.5491196,3.0139963,3
3,141150001,180450000,5,1.9760957,3.8447290,4
3,180450001,198150000,2,0.5186339,1.0090638,1
4,1,70500000,2,0.5183857,1.0085811,1
4,70500001,115350000,3,1.0128267,1.9705747,2
4,115350001,116100000,4,1.5582806,3.0318201,3
4,116100001,135300000,3,0.9991718,1.9440075,2
4,135300001,151650000,4,1.4982840,2.9150896,3
4,151650001,191250000,2,0.5054437,0.9834008,1
5,1,1350000,3,1.0313641,2.0066415,2
5,1350001,4050000,4,1.6132721,3.1388125,3
5,4050001,16500000,3,1.0380165,2.0195845,2
5,16500001,18000000,4,1.4655444,2.8513907,3
5,18000001,49650000,3,1.0159145,1.9765824,2
5,49650001,50850000,2,0.4799394,0.9337792,1
5,50850001,54150000,3,0.9849460,1.9163295,2
5,54150001,127050000,2,0.5015577,0.9758400,1
5,127050001,129150000,4,1.5028371,2.9239482,3
5,129150001,150600000,3,1.0426671,2.0286328,2
5,150600001,165600000,2,0.5019673,0.9766370,1
5,165600001,166500000,3,0.9308200,1.8110209,2
5,166500001,181050000,2,0.5290558,1.0293409,1
6,1,32400000,4,1.5225805,2.9623613,3
6,32400001,76950000,3,1.0254916,1.9952157,2
6,76950001,86400000,4,1.5165914,2.9507089,3
6,86400001,90000000,3,0.9814051,1.9094402,2
6,90000001,93450000,4,1.5008681,2.9201171,3
6,93450001,114450000,5,2.0025391,3.8961778,4
6,114450001,126000000,4,1.5173836,2.9522501,3
6,126000001,143100000,5,1.9954694,3.8824228,4
6,143100001,145500000,7,5.7452231,11.1780142,11
6,145500001,156600000,5,1.9973964,3.8861720,4
6,156600001,157350000,7,3.9108537,7.6090305,8
6,157350001,171150000,2,0.5082975,0.9889532,1
7,1,3000000,4,1.5212522,2.9597770,3
7,3000001,132450000,3,1.0119904,1.9689476,2
7,132450001,133350000,2,0.5383240,1.0473734,1
7,133350001,135300000,3,1.0567656,2.0560630,2
7,135300001,156900000,2,0.5190888,1.0099489,1
7,156900001,157500000,3,1.0169208,1.9785402,2
7,157500001,159150000,2,0.5278869,1.0270666,1
8,1,53850000,2,0.5529241,1.0757795,1
8,53850001,55050000,3,1.0313980,2.0067074,2
8,55050001,67500000,2,0.5118778,0.9959191,1
8,67500001,68100000,3,0.9671564,1.8817177,2
8,68100001,77550000,7,4.0210212,7.8233746,8
8,77550001,79350000,3,1.0268518,1.9978622,2
8,79350001,80100000,4,1.5211945,2.9596647,3
8,80100001,89700000,3,1.0214493,1.9873511,2
8,89700001,99450000,2,0.5309674,1.0330603,1
8,99450001,119100000,3,1.0588706,2.0601585,2
8,119100001,141000000,4,1.5576357,3.0305653,3
8,141000001,143100000,5,2.1660871,4.2143799,4
8,143100001,146400000,4,1.5703662,3.0553340,3
9,1,78900000,3,1.0063441,1.9579620,2
9,78900001,85200000,4,1.4835013,2.8863281,3
9,85200001,141300000,3,1.0375929,2.0187603,2
10,1,1500000,4,1.5882086,3.0900486,3
10,1500001,76200000,3,1.0202161,1.9849517,2
10,76200001,76950000,4,1.5060844,2.9302661,3
10,76950001,118350000,3,1.0395968,2.0226591,2
10,118350001,135600000,2,0.5291756,1.0295740,1
11,1,14550000,3,1.0793882,2.1000781,2
11,14550001,33750000,4,1.5118173,2.9414202,3
11,33750001,43500000,5,2.0170211,3.9243543,4
11,43500001,75150000,3,1.0623158,2.0668616,2
11,75150001,100200000,4,1.5247335,2.9665501,3
11,100200001,135150000,2,0.5296663,1.0305287,1
12,1,14400000,3,1.0335168,2.0108298,2
12,14400001,16200000,4,1.5037052,2.9256371,3
12,16200001,46800000,3,1.0046008,1.9545703,2
12,46800001,68850000,2,0.5265752,1.0245147,1
12,68850001,133950000,3,1.0466290,2.0363411,2
13,1,20400000,3,1.0243546,1.9930036,2
13,20400001,21150000,4,1.5817329,3.0774493,3
13,21150001,38850000,3,1.0487422,2.0404525,2
13,38850001,83400000,2,0.5103573,0.9929608,1
13,83400001,112950000,3,1.0181951,1.9810195,2
13,112950001,115200000,2,0.5321187,1.0353001,1
14,1,93300000,2,0.5200421,1.0118036,1
14,93300001,105750000,3,1.0615075,2.0652890,2
